Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
kanji,henshall,unicode,heisig,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
亜,997,4E9C,1809,Asia,rank next,come after,-ous,,,,,,,, 
唖,,5516,2958,mute,dumb,,,,,,,,,, 
娃,,5A03,2200,beautiful,,,,,,,,,,, 
阿,,963F,1295,Africa,flatter,fawn upon,corner,nook,recess,,,,,, 
哀,998,54C0,401,pathetic,grief,sorrow,pathos,pity,sympathize,,,,,, 
愛,417,611B,737,love,affection,favourite,,,,,,,,, 
挨,,6328,2248,push open,,,,,,,,,,, 
逢,,9022,2417,meeting,tryst,date,rendezvous,,,,,,,, 
葵,,8475,2391,hollyhock,,,,,,,,,,, 
茜,,831C,2407,madder,red dye,Turkey red,,,,,,,,, 
悪,222,60AA,1810,bad,vice,rascal,false,evil,wrong,,,,,, 
握,999,63E1,1059,grip,hold,mould sushi,bribe,,,,,,,, 
渥,,6E25,2320,kindness,moisten,,,,,,,,,, 
旭,,65ED,27,rising sun,morning sun,,,,,,,,,, 
葦,,8466,2411,reed,bullrush,,,,,,,,,, 
芦,,82A6,2364,reed,bullrush,,,,,,,,,, 
鯵,,9BF5,2818,horse mackerel,,,,,,,,,,, 
梓,,6893,1498,catalpa tree,,,,,,,,,,, 
圧,612,5727,152,pressure,push,overwhelm,oppress,dominate,,,,,,, 
斡,,65A1,2781,go around,rule,administer,,,,,,,,, 
扱,1000,6271,690,handle,entertain,thresh,strip,,,,,,,, 
宛,,5B9B,1417,address,just like,fortunately,,,,,,,,, 
姐,,59D0,2206,elder sister,maidservant,,,,,,,,,, 
飴,,98F4,2801,rice jelly,candy,,,,,,,,,, 
絢,,7D62,2664,kimono design,,,,,,,,,,, 
綾,,7DBE,2668,design,figured cloth,twill,,,,,,,,, 
鮎,,9B8E,2817,freshwater trout,smelt,,,,,,,,,, 
或,,6216,2091,some,one,or,possibly,a certain,,,,,,, 
粟,,7C9F,2654,millet,,,,,,,,,,, 
袷,,88B7,2625,lined (kimono),,,,,,,,,,, 
安,223,5B89,190,relax,cheap,low,quiet,rested,contented,peaceful,,,,, 
庵,,5EB5,2056,hermitage,retreat,,,,,,,,,, 
按,,6309,2259,hold,consider,investigate,,,,,,,,, 
暗,224,6697,480,darkness,disappear,shade,informal,grow dark,be blinded,,,,,, 
案,418,6848,214,plan,suggestion,draft,ponder,fear,proposition,idea,expectation,worry,table,bench, 
闇,,95C7,2777,get dark,gloom,disorder,,,,,,,,, 
鞍,,978D,2782,saddle,,,,,,,,,,, 
杏,,674F,203,apricot,,,,,,,,,,, 
以,419,4EE5,1028,by means of,because,in view of,compared with,,,,,,,, 
伊,,4F0A,1161,Italy,that one,,,,,,,,,, 
位,421,4F4D,955,rank,grade,throne,crown,about,some,,,,,, 
依,1001,4F9D,971,reliant,depend on,consequently,therefore,due to,,,,,,, 
偉,1005,5049,1643,admirable,greatness,remarkable,conceited,famous,excellent,,,,,, 
囲,422,56F2,1807,surround,besiege,store,paling,enclosure,encircle,preserve,keep,,,, 
夷,,5937,2881,barbarian,savage,Ainu,,,,,,,,, 
委,423,59D4,913,committee,entrust to,leave to,devote,discard,,,,,,, 
威,1002,5A01,364,intimidate,dignity,majesty,menace,threaten,,,,,,, 
尉,1004,5C09,1095,military officer,jailer,old man,rank,,,,,,,, 
惟,,60DF,2276,consider,reflect,think,,,,,,,,, 
意,226,610F,608,idea,mind,heart,taste,thought,desire,care,liking,,,, 
慰,1008,6170,1096,consolation,amusement,seduce,cheer,make sport of,comfort,console,,,,, 
易,618,6613,1051,easy,ready to,simple,fortune-telling,divination,,,,,,, 
椅,,6905,2480,chair,,,,,,,,,,, 
為,1003,70BA,1918,do,change,make,benefit,welfare,be of use,reach to,try,practice,cost,serve as,good 
畏,,754F,2569,fear,majestic,graciously,be apprehensive,,,,,,,, 
異,807,7570,1797,uncommon,queerness,strangeness,wonderful,curious,unusual,,,,,, 
移,613,79FB,898,shift,move,change,drift,catch (cold, fire),pass into,,,,,, 
維,1007,7DAD,1341,fiber,tie,rope,,,,,,,,, 
緯,1009,7DEF,1645,horizontal,woof,left & right,latitude,,,,,,,, 
胃,424,80C3,29,stomach,paunch,crop,craw,,,,,,,, 
萎,,840E,2355,wither,droop,lame,,,,,,,,, 
衣,420,8863,396,garment,clothes,dressing,,,,,,,,, 
謂,,8B02,2725,reason,origin,history,oral tradition,,,,,,,, 
違,1006,9055,1644,difference,differ,,,,,,,,,, 
遺,808,907A,1772,bequeath,leave behind,reserve,,,,,,,,, 
医,225,533B,1694,doctor,medicine,,,,,,,,,, 
井,1470,4E95,1806,well,well crib,town,community,,,,,,,, 
